WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,354.89166666666665,3.183918445354203,MINIMATA BANGO,82.5980006249313,22.605059906809
2,354.6744444444445,2.558554822116921,MINIMATA BANGO,82.5980006249313,22.605059906809
3,354.5655555555556,2.542985996378623,MINIMATA BANGO,82.5980006249313,22.605059906809
4,354.36777777777775,2.5036911639506125,MINIMATA BANGO,82.5980006249313,22.605059906809
5,354.2788888888889,2.441554036082576,MINIMATA BANGO,82.5980006249313,22.605059906809
6,354.13222222222225,2.382728361447121,MINIMATA BANGO,82.5980006249313,22.605059906809
7,353.5788888888889,2.107026604272252,MINIMATA BANGO,82.5980006249313,22.605059906809
8,353.96875,2.4784409702183896,MINIMATA BANGO,82.5980006249313,22.605059906809
9,353.64125,2.474939753956515,MINIMATA BANGO,82.5980006249313,22.605059906809
10,353.50125,2.443571376372829,MINIMATA BANGO,82.5980006249313,22.605059906809
11,352.865,2.6474820322546315,MINIMATA BANGO,82.5980006249313,22.605059906809
12,353.81125,1.4481163873903853,MINIMATA BANGO,82.5980006249313,22.605059906809
13,353.015,2.4157577929680283,MINIMATA BANGO,82.5980006249313,22.605059906809
14,352.83375,2.420920353324912,MINIMATA BANGO,82.5980006249313,22.605059906809
15,352.6075,2.411601424068965,MINIMATA BANGO,82.5980006249313,22.605059906809
16,351.75,2.916924750486378,MINIMATA BANGO,82.5980006249313,22.605059906809
17,352.4771428571429,1.9216201002081055,MINIMATA BANGO,82.5980006249313,22.605059906809
18,351.2577777777778,2.5992728684084967,MINIMATA BANGO,82.5980006249313,22.605059906809
19,351.0911111111111,2.635561820772029,MINIMATA BANGO,82.5980006249313,22.605059906809
20,350.92777777777775,2.617865436657228,MINIMATA BANGO,82.5980006249313,22.605059906809
21,350.57375,2.739358305985425,MINIMATA BANGO,82.5980006249313,22.605059906809
22,350.55285714285714,2.959587326445548,MINIMATA BANGO,82.5980006249313,22.605059906809
23,350.6088888888889,2.6763288495831663,MINIMATA BANGO,82.5980006249313,22.605059906809
24,350.6725,2.888315129225731,MINIMATA BANGO,82.5980006249313,22.605059906809
25,351.045,3.0406625217916785,MINIMATA BANGO,82.5980006249313,22.605059906809
26,351.73777777777775,3.373747092543311,MINIMATA BANGO,82.5980006249313,22.605059906809
27,352.02666666666664,3.280476337363224,MINIMATA BANGO,82.5980006249313,22.605059906809
28,352.7842857142858,3.550665933515652,MINIMATA BANGO,82.5980006249313,22.605059906809
29,353.12,3.2110656886994526,MINIMATA BANGO,82.5980006249313,22.605059906809
30,353.37142857142857,3.4492580292551303,MINIMATA BANGO,82.5980006249313,22.605059906809
31,354.15250000000003,3.369343937835469,MINIMATA BANGO,82.5980006249313,22.605059906809
32,354.15625,3.5602766244853985,MINIMATA BANGO,82.5980006249313,22.605059906809
33,354.78428571428566,2.772633267869229,MINIMATA BANGO,82.5980006249313,22.605059906809
34,355.7077777777778,1.8112894424813604,MINIMATA BANGO,82.5980006249313,22.605059906809
35,355.97444444444443,1.435671542441955,MINIMATA BANGO,82.5980006249313,22.605059906809
36,356.2725,1.5385313033632304,MINIMATA BANGO,82.5980006249313,22.605059906809
37,356.59625,1.6939804139532253,MINIMATA BANGO,82.5980006249313,22.605059906809
38,356.5155555555555,1.8066828105059727,MINIMATA BANGO,82.5980006249313,22.605059906809
39,356.34749999999997,1.6651533605904747,MINIMATA BANGO,82.5980006249313,22.605059906809
40,356.4375,1.7441064023898194,MINIMATA BANGO,82.5980006249313,22.605059906809
41,356.17777777777775,1.7793873789718802,MINIMATA BANGO,82.5980006249313,22.605059906809
42,355.84222222222223,1.9158599751663594,MINIMATA BANGO,82.5980006249313,22.605059906809
43,355.3311111111111,2.146383262865966,MINIMATA BANGO,82.5980006249313,22.605059906809
44,355.1111111111111,2.3157690107415827,MINIMATA BANGO,82.5980006249313,22.605059906809
45,355.0488888888889,2.3978190321855286,MINIMATA BANGO,82.5980006249313,22.605059906809
46,354.91999999999996,2.2905506373407696,MINIMATA BANGO,82.5980006249313,22.605059906809
47,354.7957142857143,2.628293851803599,MINIMATA BANGO,82.5980006249313,22.605059906809
48,354.9288888888889,2.4470310809450444,MINIMATA BANGO,82.5980006249313,22.605059906809
49,354.60625,2.47793656957906,MINIMATA BANGO,82.5980006249313,22.605059906809
50,354.57875,2.495192162654284,MINIMATA BANGO,82.5980006249313,22.605059906809
51,354.84,2.5146073252100476,MINIMATA BANGO,82.5980006249313,22.605059906809
52,354.8077777777778,2.526914016037049,MINIMATA BANGO,82.5980006249313,22.605059906809
53,353.13,5.628569978244944,MINIMATA BANGO,82.5980006249313,22.605059906809
