WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,116.76666666666667,0.1892969448600115,SURYA,73.0583285009642,19.9216787202418
2,116.18333333333334,0.1607275126832195,SURYA,73.0583285009642,19.9216787202418
3,115.675,0.10606601717798615,SURYA,73.0583285009642,19.9216787202418
4,115.15,0.0707106781186658,SURYA,73.0583285009642,19.9216787202418
5,114.475,0.035355339059330394,SURYA,73.0583285009642,19.9216787202418
6,113.9,,SURYA,73.0583285009642,19.9216787202418
7,113.225,0.2474873734153027,SURYA,73.0583285009642,19.9216787202418
8,113.325,1.2374368670764582,SURYA,73.0583285009642,19.9216787202418
9,110.85,0.9899494936611555,SURYA,73.0583285009642,19.9216787202418
10,111.56666666666666,1.113926987433795,SURYA,73.0583285009642,19.9216787202418
11,110.6375,1.1145813862911327,SURYA,73.0583285009642,19.9216787202418
12,110.88333333333333,1.2413030787576884,SURYA,73.0583285009642,19.9216787202418
13,108.525,0.3889087296525941,SURYA,73.0583285009642,19.9216787202418
14,107.625,0.4596194077712599,SURYA,73.0583285009642,19.9216787202418
15,107.5,1.7414074767268033,SURYA,73.0583285009642,19.9216787202418
16,106.68333333333334,1.7764665303161047,SURYA,73.0583285009642,19.9216787202418
17,105.53333333333335,1.9553345834749964,SURYA,73.0583285009642,19.9216787202418
18,104.0875,1.9409512272766327,SURYA,73.0583285009642,19.9216787202418
19,103.025,2.0597329924045975,SURYA,73.0583285009642,19.9216787202418
20,102.3625,1.785765475456772,SURYA,73.0583285009642,19.9216787202418
21,102.0375,1.7283783343546848,SURYA,73.0583285009642,19.9216787202418
22,101.75,2.394263978762576,SURYA,73.0583285009642,19.9216787202418
23,99.94999999999999,1.6263455967290523,SURYA,73.0583285009642,19.9216787202418
24,99.3,1.4142135623730951,SURYA,73.0583285009642,19.9216787202418
25,99.8,,SURYA,73.0583285009642,19.9216787202418
26,102.275,2.2273863607376136,SURYA,73.0583285009642,19.9216787202418
27,104.4,0.7071067811865476,SURYA,73.0583285009642,19.9216787202418
28,107.15,1.697056274847703,SURYA,73.0583285009642,19.9216787202418
29,111.25,,SURYA,73.0583285009642,19.9216787202418
30,118.1,,SURYA,73.0583285009642,19.9216787202418
31,117.7,,SURYA,73.0583285009642,19.9216787202418
32,114.425,5.19723484172112,SURYA,73.0583285009642,19.9216787202418
33,116.475,2.439518395093596,SURYA,73.0583285009642,19.9216787202418
34,118.0,,SURYA,73.0583285009642,19.9216787202418
35,118.1,,SURYA,73.0583285009642,19.9216787202418
36,117.8,,SURYA,73.0583285009642,19.9216787202418
37,118.35,,SURYA,73.0583285009642,19.9216787202418
38,118.5,,SURYA,73.0583285009642,19.9216787202418
39,118.45,,SURYA,73.0583285009642,19.9216787202418
40,118.5,,SURYA,73.0583285009642,19.9216787202418
41,118.525,0.035355339059330394,SURYA,73.0583285009642,19.9216787202418
42,118.55,,SURYA,73.0583285009642,19.9216787202418
43,118.55,,SURYA,73.0583285009642,19.9216787202418
44,118.5,,SURYA,73.0583285009642,19.9216787202418
45,118.45,,SURYA,73.0583285009642,19.9216787202418
46,118.35,,SURYA,73.0583285009642,19.9216787202418
47,118.175,0.10606601717798615,SURYA,73.0583285009642,19.9216787202418
48,118.05000000000001,0.21213203435596728,SURYA,73.0583285009642,19.9216787202418
49,118.1,,SURYA,73.0583285009642,19.9216787202418
50,117.775,0.10606601717797108,SURYA,73.0583285009642,19.9216787202418
51,117.55000000000001,0.14142135623731653,SURYA,73.0583285009642,19.9216787202418
52,117.32499999999999,0.03535533905932034,SURYA,73.0583285009642,19.9216787202418
